pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;Cordoba;San Alberto;2018;cordoba norte;cria;673;116;880;207;557;29;30;65;103;;;
Argentina;Cordoba;San Javier;2018;cordoba norte;cria;673;116;880;207;557;29;30;65;103;;;
Argentina;Cordoba;Santa Maria;2018;cordoba norte;cria;673;116;880;207;557;29;30;65;103;;;
Argentina;Cordoba;Sobremonte;2018;cordoba norte;cria;673;116;880;207;557;29;30;65;103;;;
Argentina;Cordoba;Totoral;2018;cordoba norte;cria;673;116;880;207;557;29;30;65;103;;;
Argentina;Cordoba;Tulumba;2018;cordoba norte;cria;673;116;880;207;557;29;30;65;103;;;
Argentina;Corrientes;Bella Vista;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;Capital;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;Concepcion;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;Empedrado;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;General Paz;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;Goya;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;Ituzaingo;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;Monte Caseros;2018;corrientes centro sur;cria;1476;1153;1885;409;323;29;63;67;215;;;
Argentina;Corrientes;Paso De Los Libres;2018;corrientes nor-este;ciclo completo;484;249;798;314;235;20;29;50;144;;;
Argentina;Corrientes;Saladas;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;San Luis Del Palmar;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;San Miguel;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Corrientes;San Roque;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Santa Fe;General Obligado;2018;corrientes noroeste;cria;785;288;1191;406;497;21;43;60;205;;;
Argentina;Buenos Aires;25 De Mayo;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Adolfo Gonzales Chaves;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Ayacucho;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Azul;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Brandsen;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Cañuelas;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Castelli;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Chascomus;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Dolores;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Alvear;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Belgrano;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Guido;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Lamadrid;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Las Heras;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Lavalle;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Juan Madariaga;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;General Paz;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;La Plata;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Laprida;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Las Flores;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Lobos;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Magdalena;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Maipu;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Mar Chiquita;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Marcos Paz;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Monte;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Navarro;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Olavarria;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Pila;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Punta Indio;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Rauch;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Roque Perez;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Saladillo;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;San Vicente;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Buenos Aires;Tapalque;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
